Name,Season,Team,G,CG,ShO,GS,W,L,SV,HLD,IP,R,ER,TBF,H,2B,3B,HR,BB,IBB,HBP,SO,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
피가로,2015,삼,25,1,0,25,13,7,0,0,165.0,66,62,688,154,26.0,3.0,16,51,0,7,117,0,6,3.38,4.51,1.24,146.0,108.9,4.24,1.55
소사,2015,L,32,2,1,30,10,12,0,1,194.1,102,87,809,199,39.0,7.0,16,36,0,5,177,1,6,4.03,3.5,1.21,116.5,134.0,4.23,-1.1
레일리,2015,롯,31,1,0,30,11,9,0,0,179.1,93,78,768,182,27.0,2.0,20,57,2,15,134,2,13,3.91,4.74,1.33,128.8,103.9,3.87,0.72
옥스프링,2015,k,31,3,0,31,12,10,0,0,185.0,104,92,806,200,33.0,0.0,23,66,0,10,142,0,5,4.48,4.93,1.44,112.3,99.2,3.68,-2.22
피어밴드,2015,넥,30,0,0,30,13,11,0,0,177.1,101,92,774,202,34.0,7.0,23,61,1,12,137,3,7,4.67,4.97,1.48,106.6,100.0,3.1,-1.35
로저스,2015,한,10,4,3,10,6,2,0,0,75.2,26,25,296,62,8.0,2.0,2,20,0,4,60,1,1,2.97,3.33,1.08,167.5,148.1,2.84,1.82
루카스,2015,L,33,0,0,30,10,11,0,1,171.2,103,94,785,175,21.0,1.0,11,108,4,14,151,1,11,4.93,4.75,1.65,95.2,100.1,2.34,0.05
스틴슨,2015,K,32,0,0,30,11,10,0,0,167.0,100,92,756,190,30.0,6.0,15,64,0,14,93,0,4,4.96,5.07,1.52,99.5,97.3,2.19,-2.21
탈보트,2015,한,30,1,0,30,10,11,0,0,156.1,93,82,695,153,26.0,1.0,11,85,4,13,120,4,11,4.72,4.8,1.52,105.5,102.6,1.98,-1.61
저마노,2015,k,15,0,0,14,3,6,0,1,76.2,46,42,347,111,17.0,2.0,7,15,0,3,40,0,1,4.93,4.46,1.64,101.9,109.4,1.58,-0.99
밴와트,2015,S,12,0,0,12,5,3,0,0,56.1,29,29,245,70,15.0,1.0,5,13,0,2,50,1,2,4.63,3.79,1.47,104.2,127.6,1.23,-0.32
세든,2015,S,14,1,1,14,7,5,0,0,74.0,42,41,319,77,15.0,0.0,12,28,0,5,67,0,7,4.99,5.25,1.42,96.9,92.6,1.22,-0.03
유먼,2015,한,17,0,0,17,4,6,0,0,91.2,52,46,406,96,16.0,0.0,9,38,1,4,56,1,3,4.52,5.01,1.46,110.3,98.3,1.13,-0.26
스와잭,2015,두,20,0,0,17,5,7,0,1,92.1,57,54,414,110,19.0,1.0,9,30,1,4,72,1,4,5.26,4.4,1.52,89.1,106.3,0.87,-1.59
니퍼트,2015,두,20,0,0,16,6,5,0,0,90.0,54,51,404,104,21.0,0.0,4,33,0,4,76,0,4,5.1,3.74,1.52,91.9,128.0,0.86,-0.36
에반,2015,K,16,0,0,1,4,0,0,4,26.1,15,13,115,30,3.0,0.0,0,13,0,1,25,0,4,4.44,3.31,1.63,111.0,150.2,0.23,-0.21
클로이드,2015,삼,28,0,0,28,11,11,0,0,159.2,103,92,705,190,36.0,0.0,24,38,0,12,123,1,3,5.19,4.97,1.43,95.2,99.0,0.19,-2.06
험버,2015,K,12,0,0,11,3,3,0,0,50.2,38,38,244,62,16.0,0.0,11,32,0,5,35,0,6,6.75,7.25,1.86,73.1,68.1,0.04,-1.28
